assimp,5.2.5-2,2,assimp-5.2.5-2-x86_64.chi.zst,a/assimp-5.2.5-2-x86_64.chi.zst,assimp-5.2.5-2,3230678
asymptote,2.64-1,1,asymptote-2.64-1-x86_64.chi.zst,a/asymptote-2.64-1-x86_64.chi.zst,asymptote-2.64-1,4738414
at,3.2.1-1,1,at-3.2.1-1-x86_64.chi.zst,a/at-3.2.1-1-x86_64.chi.zst,at-3.2.1-1,48012
at-spi2-atk,2.38.0-1,1,at-spi2-atk-2.38.0-1-x86_64.chi.zst,a/at-spi2-atk-2.38.0-1-x86_64.chi.zst,at-spi2-atk-2.38.0-1,72828
at-spi2-core,2.46.0-2,2,at-spi2-core-2.46.0-2-x86_64.chi.zst,a/at-spi2-core-2.46.0-2-x86_64.chi.zst,at-spi2-core-2.46.0-2,736163
atk,2.38.0-1,1,atk-2.38.0-1-x86_64.chi.zst,a/atk-2.38.0-1-x86_64.chi.zst,atk-2.38.0-1,511349
atkmm,2.28.3-1,1,atkmm-2.28.3-1-x86_64.chi.zst,a/atkmm-2.28.3-1-x86_64.chi.zst,atkmm-2.28.3-1,122886
atom,1.61.0beta0-2,2,atom-1.61.0beta0-2-x86_64.chi.zst,a/atom-1.61.0beta0-2-x86_64.chi.zst,atom-1.61.0beta0-2,61374240
atril,1.26.0-3,3,atril-1.26.0-3-x86_64.chi.zst,a/atril-1.26.0-3-x86_64.chi.zst,atril-1.26.0-3,1792507
attica,5.103.0-1,1,attica-5.103.0-1-x86_64.chi.zst,a/attica-5.103.0-1-x86_64.chi.zst,attica-5.103.0-1,791954
attr,2.5.1-2,2,attr-2.5.1-2-x86_64.chi.zst,a/attr-2.5.1-2-x86_64.chi.zst,attr-2.5.1-2,72880
aubio,0.4.9-13,13,aubio-0.4.9-13-x86_64.chi.zst,a/aubio-0.4.9-13-x86_64.chi.zst,aubio-0.4.9-13,463125
audacious,4.0.5-1,1,audacious-4.0.5-1-x86_64.chi.zst,a/audacious-4.0.5-1-x86_64.chi.zst,audacious-4.0.5-1,669329
audacious-plugins,4.0.5-1,1,audacious-plugins-4.0.5-1-x86_64.chi.zst,a/audacious-plugins-4.0.5-1-x86_64.chi.zst,audacious-plugins-4.0.5-1,1791553
audacity,1%3A3.2.4-1,1,audacity-1%3A3.2.4-1-x86_64.chi.zst,a/audacity-1%3A3.2.4-1-x86_64.chi.zst,audacity-1%3A3.2.4-1,10884517
audiofile,0.3.6-6,6,audiofile-0.3.6-6-x86_64.chi.zst,a/audiofile-0.3.6-6-x86_64.chi.zst,audiofile-0.3.6-6,144854
audit,3.0.9-2,2,audit-3.0.9-2-x86_64.chi.zst,a/audit-3.0.9-2-x86_64.chi.zst,audit-3.0.9-2,438132
augeas,1.14.0-1,1,augeas-1.14.0-1-x86_64.chi.zst,a/augeas-1.14.0-1-x86_64.chi.zst,augeas-1.14.0-1,642845
auracle-git,r366.8739929-4,4,auracle-git-r366.8739929-4-x86_64.chi.zst,a/auracle-git-r366.8739929-4-x86_64.chi.zst,auracle-git-r366.8739929-4,456740
autoconf,2.71-1,1,autoconf-2.71-1-any.chi.zst,a/autoconf-2.71-1-any.chi.zst,autoconf-2.71-1,739162
autoconf-archive,1%3A2022.09.03-1,1,autoconf-archive-1%3A2022.09.03-1-any.chi.zst,a/autoconf-archive-1%3A2022.09.03-1-any.chi.zst,autoconf-archive-1%3A2022.09.03-1,610166
autofs,5.1.6-2,2,autofs-5.1.6-2-x86_64.chi.zst,a/autofs-5.1.6-2-x86_64.chi.zst,autofs-5.1.6-2,733838
automake,1.16.5-1,1,automake-1.16.5-1-any.chi.zst,a/automake-1.16.5-1-any.chi.zst,automake-1.16.5-1,682799
autorandr,1.13.3-1,1,autorandr-1.13.3-1-any.chi.zst,a/autorandr-1.13.3-1-any.chi.zst,autorandr-1.13.3-1,31682
