b43-fwcutter,019-4,4,b43-fwcutter-019-4-x86_64.chi.zst,b/b43-fwcutter-019-4-x86_64.chi.zst
babl,0.1.106-1,1,babl-0.1.106-1-x86_64.chi.zst,b/babl-0.1.106-1-x86_64.chi.zst
balena-etcher,2%3A1.7.9-1,1,balena-etcher-2%3A1.7.9-1-x86_64.chi.zst,b/balena-etcher-2%3A1.7.9-1-x86_64.chi.zst
baloo,5.108.0-1,1,baloo-5.108.0-1-x86_64.chi.zst,b/baloo-5.108.0-1-x86_64.chi.zst
baloo-widgets,23.04.3-1,1,baloo-widgets-23.04.3-1-x86_64.chi.zst,b/baloo-widgets-23.04.3-1-x86_64.chi.zst
balsa,2.6.1-2,2,balsa-2.6.1-2-x86_64.chi.zst,b/balsa-2.6.1-2-x86_64.chi.zst
bamf,0.5.6-1,1,bamf-0.5.6-1-x86_64.chi.zst,b/bamf-0.5.6-1-x86_64.chi.zst
bandwhich,0.20.0-1,1,bandwhich-0.20.0-1-x86_64.chi.zst,b/bandwhich-0.20.0-1-x86_64.chi.zst
baobab,44.0-1,1,baobab-44.0-1-x86_64.chi.zst,b/baobab-44.0-1-x86_64.chi.zst
base,3-1,1,base-3-1-any.chi.zst,b/base-3-1-any.chi.zst
base,3-2,2,base-3-2-any.chi.zst,b/base-3-2-any.chi.zst
bash,5.2.15-1,1,bash-5.2.15-1-x86_64.chi.zst,b/bash-5.2.15-1-x86_64.chi.zst
